name,rank,type,founded,religon,schedule,location_type,phone_num,alumni_sal,four_year_grad_rate,sport_assoc,usnews_score,six_year_grad_rate,six_year_with_pell,six_year_without_pell,percent_class_less_twenty,percent_class_more_fifty,student_to_fac,app_deadline,app_fee,acceptance_rate,sat_1400-1600,sat_1200-1399,sat_1000-1199,sat_800-999,sat_600-799,sat_400-599,total_enroll,undergrad_enroll,grad_enroll,tuition,room_and_board,fed_debt,fed_debt_not_grad
Princeton University,1,Private,1746.0,None,Semester,Suburban,(609) 258-3000,71300.0,90.0,NCAA I,100.0,97.0,98.0,98.0,77.6,9.0,4:1,Jan. 1,70.0,6.0,86.15,13.24,0.61,0.0,0.0,0.0,7852.0,4773.0,3079.0,10750.0,6001.0,56010.0,18180.0
Harvard University,2,Private,1636.0,None,Semester,Urban,(617) 495-1000,69000.0,86.0,NCAA I,97.0,97.0,97.0,98.0,76.3,10.0,5:1,Jan. 1,75.0,5.0,N/A,N/A,N/A,N/A,N/A,N/A,19218.0,5222.0,13996.0,13750.0,12500.0,55587.0,18941.0
Massachusetts Institute of Technology,2,Private,1861.0,None,4-1-4,Urban,N/A,82700.0,87.0,NCAA III,97.0,95.0,94.0,96.0,70.1,11.0,3:1,Jan. 1,75.0,7.0,98.8,1.2,0.0,0.0,0.0,0.0,11254.0,4361.0,6893.0,12500.0,5500.0,55878.0,18100.0
Yale University,5,Private,1701.0,None,Semester,City,(203) 432-4771,65900.0,84.0,NCAA I,96.0,97.0,94.0,97.0,76.9,8.0,4:1,Jan. 2,80.0,7.0,89.6,10.1,0.3,0.0,0.0,0.0,12060.0,4703.0,7357.0,13060.0,10915.0,59950.0,17800.0
Stanford University,6,Private,1885.0,None,Quarter,Suburban,(650) 723-2300,73900.0,74.0,NCAA I,95.0,94.0,95.0,95.0,68.6,12.0,5:1,Jan. 2,90.0,5.0,79.0,19.0,2.0,0.0,0.0,0.0,15961.0,6366.0,9595.0,11750.0,8037.0,56169.0,17860.0
University of Chicago,6,Private,1890.0,None,Quarter,Urban,(773) 702-1234,59700.0,91.0,NCAA III,95.0,95.0,94.0,96.0,78.9,6.0,5:1,Nov. 1,75.0,7.0,99.0,1.0,0.0,0.0,0.0,0.0,15278.0,6989.0,8289.0,16378.0,10692.0,60963.0,17685.0
University of Pennsylvania,8,Private,1740.0,None,Semester,Urban,(215) 898-5000,68200.0,86.0,NCAA I,94.0,96.0,92.0,96.0,69.6,9.0,6:1,Jan. 5,75.0,9.0,90.0,10.0,0.0,0.0,0.0,0.0,22436.0,9872.0,12564.0,18250.0,12500.0,61710.0,17304.0
California Institute of Technology,9,Private,1891.0,None,Quarter,Suburban,(626) 395-6811,82900.0,86.0,NCAA III,93.0,92.0,92.0,91.0,66.7,9.0,3:1,Jan. 3,75.0,7.0,99.0,1.0,0.0,0.0,0.0,0.0,2240.0,901.0,1339.0,11242.0,5500.0,58680.0,17748.0
Duke University,9,Private,1838.0,None,Semester,Suburban,(919) 684-2724,68900.0,90.0,NCAA I,93.0,95.0,94.0,96.0,75.4,7.0,6:1,Jan. 3,85.0,8.0,85.35,12.25,1.36,0.73,0.0,0.0,16172.0,6717.0,9455.0,12582.0,5500.0,60489.0,17484.0
Johns Hopkins University,9,Private,1876.0,None,Semester,Urban,(941) 516-8000,65900.0,89.0,NCAA III,93.0,93.0,93.0,95.0,74.3,9.0,6:1,Jan. 2,70.0,9.0,94.0,4.9,1.1,0.0,0.0,0.0,28890.0,6331.0,22559.0,15500.0,6937.0,58720.0,16800.0
